"Samples","Total_1","Total_2","Hyphopodia_1","Hyphopodia_2","IntrHyphae_1","IntrHyphae_2","Arbuscules_1","Arbuscules_2","Vesicles_1","Vesicles_2"
"WT",30,8.64741451404856,3.44444444444444,0.192450089729875,30,8.64741451404856,29.6666666666667,8.08977406634106,7.66666666666667,2.33333333333333
"cyclops-3",18.6666666666667,7.68837506311386,10,4.35889894354067,18,7.4236858171067,0,0,0,0
"cyclops-4",16,3.75647588986155,6.11111111111111,3.97678448181628,15,2.02758751009941,0,0,0,0
"ccamk-13",11.5555555555556,3.02459057529249,11.5555555555556,3.02459057529249,0,0,0,0,0,0
